chr	start	end
chr1	3530000	3540000
chr1	3670000	3680000
chr1	4490000	4500000
chr1	4570000	4580000
chr1	4680000	4690000
chr1	4780000	4790000
chr1	4800000	4810000
chr1	4810000	4820000
chr1	4850000	4860000
chr1	4860000	4870000
chr1	5010000	5020000
chr1	5020000	5030000
chr1	5040000	5050000
chr1	5080000	5090000
chr1	5160000	5170000
chr1	5170000	5180000
chr1	5340000	5350000
chr1	5580000	5590000
chr1	5750000	5760000
chr1	5910000	5920000
chr1	6170000	6180000
chr1	6210000	6220000
chr1	6280000	6290000
chr1	6350000	6360000
chr1	6380000	6390000
chr1	6440000	6450000
chr1	7010000	7020000
chr1	7080000	7090000
chr1	7090000	7100000
chr1	7120000	7130000
chr1	7130000	7140000
chr1	7200000	7210000
chr1	7270000	7280000
chr1	7290000	7300000
chr1	7390000	7400000
chr1	7490000	7500000
chr1	8650000	8660000
chr1	8780000	8790000
chr1	8790000	8800000
chr1	8930000	8940000
chr1	9290000	9300000
chr1	9300000	9310000
chr1	9540000	9550000
chr1	9600000	9610000
chr1	9610000	9620000
chr1	9690000	9700000
chr1	9700000	9710000
chr1	9740000	9750000
chr1	9760000	9770000
chr1	9790000	9800000
chr1	9840000	9850000
chr1	9900000	9910000
chr1	9940000	9950000
chr1	9960000	9970000
chr1	10000000	10010000
chr1	10030000	10040000
chr1	10040000	10050000
chr1	10230000	10240000
chr1	10540000	10550000
chr1	10820000	10830000
chr1	10870000	10880000
chr1	10880000	10890000
chr1	10990000	11000000
chr1	11270000	11280000
chr1	11320000	11330000
chr1	11330000	11340000
chr1	11370000	11380000
chr1	11380000	11390000
chr1	11390000	11400000
chr1	11400000	11410000
chr1	11410000	11420000
chr1	11740000	11750000
chr1	12020000	12030000
chr1	12360000	12370000
chr1	12600000	12610000
chr1	12690000	12700000
chr1	12710000	12720000
chr1	12800000	12810000
chr1	12810000	12820000
chr1	12830000	12840000
chr1	12860000	12870000
chr1	12870000	12880000
chr1	12990000	13000000
