chr	start	end
chr1	3670000	3680000
chr1	4570000	4580000
chr1	4780000	4790000
chr1	4800000	4810000
chr1	4850000	4860000
chr1	5010000	5020000
chr1	5020000	5030000
chr1	5080000	5090000
chr1	5910000	5920000
chr1	6210000	6220000
chr1	6350000	6360000
chr1	6380000	6390000
chr1	6440000	6450000
chr1	6720000	6730000
chr1	6730000	6740000
chr1	6760000	6770000
chr1	7080000	7090000
chr1	7090000	7100000
chr1	7390000	7400000
chr1	8410000	8420000
chr1	9290000	9300000
chr1	9300000	9310000
chr1	9540000	9550000
chr1	9600000	9610000
chr1	9620000	9630000
chr1	9630000	9640000
chr1	9640000	9650000
chr1	9690000	9700000
chr1	9700000	9710000
chr1	9740000	9750000
chr1	9790000	9800000
chr1	9840000	9850000
chr1	9900000	9910000
chr1	9940000	9950000
chr1	9960000	9970000
chr1	10000000	10010000
chr1	10030000	10040000
chr1	10040000	10050000
chr1	10230000	10240000
chr1	10990000	11000000
chr1	11410000	11420000
chr1	12830000	12840000
chr1	12990000	13000000
chr1	13100000	13110000
chr1	13190000	13200000
chr1	13370000	13380000
chr1	13420000	13430000
chr1	13580000	13590000
chr1	13590000	13600000
chr1	13650000	13660000
chr1	13660000	13670000
chr1	14300000	14310000
chr1	14310000	14320000
chr1	14500000	14510000
chr1	14750000	14760000
chr1	15280000	15290000
chr1	15800000	15810000
chr1	15890000	15900000
chr1	16090000	16100000
chr1	16100000	16110000
chr1	16510000	16520000
chr1	16520000	16530000
chr1	16610000	16620000
chr1	16650000	16660000
chr1	16660000	16670000
chr1	16680000	16690000
chr1	17050000	17060000
chr1	17060000	17070000
chr1	17090000	17100000
chr1	17120000	17130000
chr1	17140000	17150000
chr1	18050000	18060000
chr1	19200000	19210000
chr1	19210000	19220000
chr1	20470000	20480000
chr1	20810000	20820000
chr1	20820000	20830000
chr1	20890000	20900000
chr1	20900000	20910000
chr1	20920000	20930000
chr1	20950000	20960000
chr1	21070000	21080000
chr1	21160000	21170000
chr1	21210000	21220000
chr1	21960000	21970000
chr1	22500000	22510000
chr1	22510000	22520000
chr1	22530000	22540000
chr1	22780000	22790000
chr1	22790000	22800000
chr1	22800000	22810000
chr1	22930000	22940000
chr1	23250000	23260000
chr1	23300000	23310000
chr1	23320000	23330000
chr1	23370000	23380000
chr1	23380000	23390000
chr1	23490000	23500000
chr1	23650000	23660000
chr1	23760000	23770000
chr1	23920000	23930000
chr1	24000000	24010000
chr1	24090000	24100000
chr1	24100000	24110000
chr1	24360000	24370000
chr1	24510000	24520000
chr1	24550000	24560000
chr1	24580000	24590000
chr1	24630000	24640000
chr1	24670000	24680000
chr1	24860000	24870000
chr1	24870000	24880000
chr1	25030000	25040000
chr1	25080000	25090000
chr1	25160000	25170000
chr1	25220000	25230000
chr1	25820000	25830000
chr1	25830000	25840000
chr1	30870000	30880000
chr1	30940000	30950000
chr1	30950000	30960000
chr1	32170000	32180000
chr1	33660000	33670000
chr1	33670000	33680000
chr1	33710000	33720000
chr1	33720000	33730000
chr1	33750000	33760000
chr1	33810000	33820000
chr1	33900000	33910000
chr1	34000000	34010000
chr1	34010000	34020000
chr1	34120000	34130000
chr1	34180000	34190000
chr1	34230000	34240000
chr1	34390000	34400000
chr1	34430000	34440000
chr1	34440000	34450000
chr1	34450000	34460000
chr1	34460000	34470000
chr1	34470000	34480000
chr1	34480000	34490000
chr1	34530000	34540000
chr1	34570000	34580000
chr1	34580000	34590000
chr1	34670000	34680000
chr1	34750000	34760000
chr1	34800000	34810000
chr1	34840000	34850000
chr1	34850000	34860000
chr1	35380000	35390000
chr1	35870000	35880000
chr1	35880000	35890000
chr1	36030000	36040000
chr1	36060000	36070000
chr1	36070000	36080000
chr1	36240000	36250000
chr1	36250000	36260000
chr1	36300000	36310000
chr1	36360000	36370000
chr1	36440000	36450000
chr1	36470000	36480000
chr1	36490000	36500000
chr1	36510000	36520000
chr1	36540000	36550000
chr1	36550000	36560000
chr1	36580000	36590000
chr1	36690000	36700000
chr1	36700000	36710000
chr1	36710000	36720000
chr1	36740000	36750000
chr1	36780000	36790000
chr1	36900000	36910000
chr1	36930000	36940000
chr1	36940000	36950000
chr1	37020000	37030000
chr1	37290000	37300000
chr1	37300000	37310000
chr1	37420000	37430000
chr1	37430000	37440000
chr1	37540000	37550000
chr1	37630000	37640000
chr1	37680000	37690000
chr1	37710000	37720000
chr1	37720000	37730000
chr1	37860000	37870000
chr1	37870000	37880000
chr1	37880000	37890000
chr1	37890000	37900000
chr1	37990000	38000000
chr1	38120000	38130000
chr1	38130000	38140000
